T&D :- 16/01/2023 06:31:00 | EURUSD | call | 18.70163421 | Counter :- 114 | 10622.98 | Compounding Amt :- 15.715659
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 115 | 10621.79 | Compounding Amt :- 34.417293210000004
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 40.956578919900004 | Counter :- 116 | 10583.08 | Compounding Amt :- 34.417293210000004
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 117 | 10659.39 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 118 | 10658.2 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 119 | 10657.01 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 4.0222 | Counter :- 120 | 10655.24 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 121 | 10661.66 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 122 | 10662.72 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 123 | 10663.78 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 124 | 10664.84 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 125 | 10663.65 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 2.6061 | Counter :- 126 | 10663.3 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 127 | 10662.11 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 5.707359 | Counter :- 128 | 10658.65 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 129 | 10657.46 | Compounding Amt :- 10.503459
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 130 | 10656.27 | Compounding Amt :- 11.693458999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 13.915216209999999 | Counter :- 131 | 10644.61 | Compounding Amt :- 11.693458999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 132 | 10669.75 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 133 | 10668.56 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 134 | 10667.37 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 135 | 10666.18 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 5.4383 | Counter :- 136 | 10662.99 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 137 | 10672.09 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 138 | 10673.15 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 139 | 10671.96 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 140 | 10670.77 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 141 | 10669.58 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 142 | 10668.39 | Compounding Amt :- 5.76
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 143 | 10667.2 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 8.270499999999998 | Counter :- 144 | 10661.18 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 145 | 10675.64 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 146 | 10676.7 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 147 | 10677.76 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 148 | 10678.83 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 149 | 10677.64 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 150 | 10676.45 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 151 | 10675.26 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 5.4383 | Counter :- 152 | 10672.07 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 153 | 10670.88 | Compounding Amt :- 10.0083
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 11.909877 | Counter :- 154 | 10661.22 | Compounding Amt :- 10.0083
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 155 | 10682.56 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 156 | 10681.37 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 157 | 10680.18 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 4.0222 | Counter :- 158 | 10678.41 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 159 | 10684.83 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 160 | 10685.9 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 161 | 10684.71 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 2.6061 | Counter :- 162 | 10684.35 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 163 | 10683.16 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 5.707359 | Counter :- 164 | 10679.71 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 165 | 10678.52 | Compounding Amt :- 10.503459
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 12.499116209999999 | Counter :- 166 | 10668.27 | Compounding Amt :- 10.503459
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 167 | 10690.73 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 168 | 10689.54 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 169 | 10688.35 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 4.0222 | Counter :- 170 | 10686.58 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 171 | 10693 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 172 | 10691.81 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 2.6061 | Counter :- 173 | 10691.45 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 174 | 10695.2 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 175 | 10694.01 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 2.6061 | Counter :- 176 | 10693.65 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 177 | 10692.46 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 178 | 10691.27 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 179 | 10690.08 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 180 | 10688.89 | Compounding Amt :- 8.3661
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 181 | 10687.7 | Compounding Amt :- 9.556099999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 182 | 10686.51 | Compounding Amt :- 10.746099999999998
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 12.787858999999997 | Counter :- 183 | 10675.97 | Compounding Amt :- 10.746099999999998
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 184 | 10674.78 | Compounding Amt :- 23.533958999999996
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 185 | 10673.59 | Compounding Amt :- 24.723958999999997
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 29.42151121 | Counter :- 186 | 10646.43 | Compounding Amt :- 24.723958999999997
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 187 | 10645.24 | Compounding Amt :- 54.14547021
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 188 | 10644.05 | Compounding Amt :- 55.33547021
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 189 | 10642.86 | Compounding Amt :- 56.525470209999995
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 190 | 10641.67 | Compounding Amt :- 57.71547020999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 191 | 10640.48 | Compounding Amt :- 58.90547020999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 70.0975095499 | Counter :- 192 | 10572.63 | Compounding Amt :- 58.90547020999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 193 | 10571.44 | Compounding Amt :- 129.00297975989997
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 194 | 10570.25 | Compounding Amt :- 130.19297975989997
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 195 | 10569.06 | Compounding Amt :- 131.38297975989997
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 196 | 10567.87 | Compounding Amt :- 132.57297975989997
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 157.76184591428097 | Counter :- 197 | 10412.36 | Compounding Amt :- 132.57297975989997
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 198 | 10411.17 | Compounding Amt :- 290.33482567418093
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 199 | 10409.98 | Compounding Amt :- 291.52482567418093
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 200 | 10408.79 | Compounding Amt :- 292.71482567418093
