T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 69 | 11335.68 | Compounding Amt :- 155.017474464581
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 70 | 11345.16 | Compounding Amt :- 156.207474464581
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 185.8868946128514 | Counter :- 71 | 11159.14 | Compounding Amt :- 156.207474464581
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 72 | 11508.12 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 73 | 11505.16 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 2.6061 | Counter :- 74 | 11498.97 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 75 | 11498.84 | Compounding Amt :- 4.7961
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 5.707359 | Counter :- 76 | 11475.14 | Compounding Amt :- 4.7961
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 77 | 11466.52 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 78 | 11475.52 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 79 | 11525.99 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 4.0222 | Counter :- 80 | 11523.03 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 81 | 11525.16 | Compounding Amt :- 7.4022
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 82 | 11526.24 | Compounding Amt :- 8.5922
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 83 | 11524.92 | Compounding Amt :- 9.7822
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 84 | 11522.18 | Compounding Amt :- 10.972199999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 85 | 11519.8 | Compounding Amt :- 12.162199999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 86 | 11515.04 | Compounding Amt :- 13.352199999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 87 | 11511.47 | Compounding Amt :- 14.542199999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 88 | 11504.49 | Compounding Amt :- 15.732199999999997
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 18.721317999999997 | Counter :- 89 | 11493.29 | Compounding Amt :- 15.732199999999997
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 90 | 11525.14 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 91 | 11521.22 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 92 | 11502.8 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 93 | 11501.61 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 94 | 11448.25 | Compounding Amt :- 5.76
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 95 | 11444.1 | Compounding Amt :- 6.949999999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 96 | 11440.53 | Compounding Amt :- 8.139999999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 97 | 11322.26 | Compounding Amt :- 9.329999999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 98 | 11319.88 | Compounding Amt :- 10.519999999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 12.518799999999997 | Counter :- 99 | 11292.57 | Compounding Amt :- 10.519999999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 100 | 11350.38 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 101 | 11350.25 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 102 | 11351.31 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 103 | 11347.74 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 104 | 11345.36 | Compounding Amt :- 5.76
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 105 | 11342.98 | Compounding Amt :- 6.949999999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 8.270499999999998 | Counter :- 106 | 11333.62 | Compounding Amt :- 6.949999999999999
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 107 | 11341.53 | Compounding Amt :- 15.220499999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 108 | 11339.15 | Compounding Amt :- 16.4105
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 109 | 11337.6 | Compounding Amt :- 17.6005
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 110 | 11336.41 | Compounding Amt :- 18.7905
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 111 | 11332.84 | Compounding Amt :- 19.980500000000003
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 112 | 11326.78 | Compounding Amt :- 21.170500000000004
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 113 | 11324.4 | Compounding Amt :- 22.360500000000005
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 114 | 11309.86 | Compounding Amt :- 23.550500000000007
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 115 | 11307.48 | Compounding Amt :- 24.740500000000008
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 29.441195000000008 | Counter :- 116 | 11282.39 | Compounding Amt :- 24.740500000000008
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 117 | 11297.68 | Compounding Amt :- 1
